item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	merchant-shipping-group	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3
37.7" Diamond Band Saw Blade for Stone Marble Ceramic Glass, 960mm x 1/8" 180 Grit Wet Cutting Diamond Grit Blade, Professional Tile Porcelain Band Saw Blade Replacement (3)	MD37718 - 37.7" x 1/8" Diamond Band Saw Blade (180 Grit) Upgrade your cutting precision with the MD37718 Diamond Band Saw Blade. These blades have proven to be highly effective diamond machining tools across a vast array of materials and applications. Designed for the professional craftsman and serious hobbyist, this blade delivers clean, accurate cuts in the toughest mineral-based materials. Superior Diamond Coating: The blade features a robust diamond coating, specifically engineered for wet cutting applications. The 180-grit rating provides a perfect balance of fast material removal and a smooth finish, making it ideal for cutting dense stone, delicate glass, polished marble, hard ceramic tiles, and other mineral composites. Engineered for Performance: With exact specifications of 37.7 inches (960mm) in length and a 1/8-inch (3.17mm) width, this blade is designed to fit a range of compatible band saws. The consistent diamond distribution along the cutting edge ensures reliable performance and long service life, even under regular use. Safety and Efficiency: For optimal results and safety, this blade must be used with a water coolant system. Wet cutting reduces friction, prevents heat buildup that could damage your material, and controls silica dust, keeping your work area cleaner and safer. Ideal for: Stone Fabrication Tile Installation Glass Art & Stained Glass Marble and Granite Cutting Lapidary Work	0305HPM1934	0R-08BK-T291	75	10	2026-03-04 17:44:44 PST		y	1			11				B0GR7XPS7Z						B0GR7XPS7Z			0	DEFAULT													Migrated Template							
5pcs 42 Inch x 1/8 Inch Diamond Coated Band Saw Blade for Gryphon Tall C-40 CR, Kent AquaSaw XL, Stainless Steel, Pack (5)	This premium 42-inch x 1/8-inch diamond bandsaw blade is specifically designed for the Gryphon TALL C-40 CR and Kent AquaSaw XL machines. The stainless steel blade features a diamond-coated cutting edge that excels at precise cutting of thick fused glass, slab glass, and lapidary materials. Perfect for wet cutting applications on stone, marble, tile, ceramic, and various mineral-based materials, this blade delivers clean, efficient cuts while minimizing material waste. The blade's design ensures smooth operation and reduced grinding time, helping you maintain productivity in your projects. Installation is straightforward and tool-free, allowing you to quickly get back to work. This replacement blade measures 42 inches in length with a 1/8-inch width, providing the ideal specifications for compatible band saw models. The durable construction and diamond coating work together to deliver consistent cutting performance across a wide range of materials.	0131HVA2GU5	10-MCVT-F2DP	124.98	19	2026-01-31 02:27:43 PST		y	1			11				B0GKVWWB2M						B0GKVWWB2M			0	DEFAULT													Migrated Template							
37" x 1/8" Replacement Diamond Coated Band Saw Blade Fit Laser XL, Diamond 3000XL, C-40 & Other for Speedster Precision 2000 Laser 1000 Dl3000 (10pcs 37" x 1/8"	Diamond blades are specifically designed for wet cutting of stone, glass, marble, tile, ceramic, and other mineral-based materials, featuring a diamond-coated surface. Replacement diamond band saw blades have proven to be a highly efficient diamond machining tool, suitable for a wide range of materials and applications. Key Features: High-Strength Stainless Steel Construction: Made from seamless stainless steel, offering excellent corrosion and rust resistance. Premium Diamond Coating: Coated with high-quality diamond abrasives for superior cutting performance. Efficient Cutting: Diamond-coated teeth enable smooth and clean cutting of various glass and mineral materials, reducing grinding time and preserving valuable materials.	0304HLW76XO	10pcs3718	205	30	2026-03-03 20:57:48 PST		y	1			11				B0GR4BL1Q3						B0GR4BL1Q3			0	DEFAULT													Migrated Template							
Glass Cutter 2mm-20mm, Upgrade Glass Cutting Tool with Glass Cutting Oil, Pencil Style Oil Feed Carbide Tip Glass Cutter for Tiles/Mosaic/Mirror. (Glass Oil Cutter)		0827FPTPK6Y	29-3X9L-ANVS	13.98		2025-08-26 21:02:51 PDT		y	1			11				B0FNVJ1M8L						B0FNVJ1M8L				AMAZON_NA													Migrated Template							
Diamond Flat Lap Disc, 10 Inch, 320 Grit, 1 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing (320 Grit)	1.10-inch outside diameter,quality electroplated diamond coated flat lap disk wheel. 2.The flat laps wheels have a 1-inch Arbo_r hole for Angle Grinder. 3.They are absolutely flat and to meet the most exacting faceting requirements. 4.For grinding and polishing jewelry, glass, rock,stone, granit_e,etc. 5.Recommended for rough and fine grinding on faceting material plus general lapidary grinding when precision is required. 0 Specification: Product Name: Diamond Disc Package Content: 1 x Diamond Disc Weight: 405g Material: Metal,Diamond Coated Color: Silver Tone Outer Diameter: 250mm/10-inch Arbo_r Hole Diameter: 12.7mm/1/2-inch Thickness: 1mm/0.04-inch	0225F6TP905	3D-P9RO-DDQ7	18		2025-02-24 17:51:52 PST		y	1			11				B0DYCJXF64						B0DYCJXF64				AMAZON_NA	16.8												Migrated Template							
CBN Grinding Wheel 8 inch 1000 Grit Radius Edge,1.5” Wide,5/8” Arbor,for Sharpening Woodturning Tools、High Speed Steel Tools (1000 Grit)	High Accuracy;No Need Dressing; Super-large Working Area; Various Grit Sizes Available; Aluminium Body.	0421FUFVC0K	4IN1PLUS-R-1000	148		2025-04-21 08:09:16 PDT		y	1			11				B0F5QSGCP2						B0F5QSGCP2				AMAZON_NA	145.0												Migrated Template							
CBN Grinding Wheel 8 inch 180 Grit Radius Edge,1.5” Wide,5/8” Arbor,for Sharpening Woodturning Tools、High Speed Steel Tools (180 Grit)	High Accuracy;No Need Dressing; Super-large Working Area; Various Grit Sizes Available; Aluminium Body.	0421FUG677Z	4IN1PLUS-R-180	148		2025-04-21 06:46:48 PDT		y	1			11				B0F5QRX5BJ						B0F5QRX5BJ				AMAZON_NA	145.0												Migrated Template							
CBN Grinding Wheel 8 inch 600 Grit Radius Edge,1.5'' Wide,5/8'' Arbor,for Sharpening Woodturning Tools、High Speed Steel Tools (600 Grit)	High Accuracy;No Need Dressing; Super-large Working Area; Various Grit Sizes Available; Aluminium Body.	0421FUHFGJH	4IN1PLUS-R-600	148		2025-04-21 07:22:45 PDT		y	1			11				B0F5QRT8C4						B0F5QRT8C4				AMAZON_NA	145.0												Migrated Template							
37" x 1/8" Replacement Diamond Coated Band Saw Blade Fit Laser XL, Diamond 3000XL, C-40 & Other for Speedster Precision 2000 Laser 1000 Dl3000 (5pcs37 x 1/8"	Diamond blades are specifically designed for wet cutting of stone, glass, marble, tile, ceramic, and other mineral-based materials, featuring a diamond-coated surface. Replacement diamond band saw blades have proven to be a highly efficient diamond machining tool, suitable for a wide range of materials and applications. Key Features: High-Strength Stainless Steel Construction: Made from seamless stainless steel, offering excellent corrosion and rust resistance. Premium Diamond Coating: Coated with high-quality diamond abrasives for superior cutting performance. Efficient Cutting: Diamond-coated teeth enable smooth and clean cutting of various glass and mineral materials, reducing grinding time and preserving valuable materials.	0304HLK4D5G	5PCSMD3718	110	20	2026-03-03 20:39:52 PST		y	1			11				B0GR43F3HT						B0GR43F3HT			0	DEFAULT													Migrated Template							
5pcs 3/4 Inch Diamond Grinder Bit Head Tools, Stained Glass Tools and Supplies for Stained Glass Grinder, Widely Used for Glass Processing Arts and Decoration (MCB 3/4'')	Standard Diamond Grinder Bit 5 pcs 3/4" diameter Bit fits all grinders. Standard replacement bit for all Diamond Tech Max grinders. Also fits Inland and Glastar glass grinders. If you have any customization needs, please contact us, we will definitely solve the pain points in the grinding process with the greatest sincerity and quality.	0429HV8MR7R	5pcs-34stainedglass-bit	49.9	100	2026-04-28 23:22:18 PDT		y	1			11				B0GYYKG79B						B0GYYKG79B			0	DEFAULT													Migrated Template							
