parent_sku,parent_title,variation_theme,child_sku,child_title,child_status,excel_row,attrs_json,duplicate_attrs
1pcs58,"Stained Glass Grinding Bits with 5/8 inch, Diamond Grinder Bit , Grinder Bits and Automatic Water Feeding",MATERIAL_TYPE,DM2MCBL58,"Stained glass Grinding Bits with 5/8 inch, Diamond Grinder Bit , Grinder Bits and Supplies For Stained glass grinder (2 pcs 5/8'')",Active,190,"{""Material"": ""2 pcs 5/8''""}",0
1pcs58,"Stained Glass Grinding Bits with 5/8 inch, Diamond Grinder Bit , Grinder Bits and Automatic Water Feeding",MATERIAL_TYPE,H5-I5OP-KGFH,"Stained glass Grinding Bits with 5/8 inch, Diamond Grinder Bit , Grinder Bits and Supplies For Stained glass grinder (1 pcs 5/8'')",Active,191,"{""Material"": ""1 pcs 5/8''""}",0
3B-RP60-PL12,"Double-Sided CBN Grinding Disk for WS3000, for Sharpening Woodworking Tools, High Speed Steel Tools",STYLE (Deprecated: Do Not Use),J3-4MZ2-U512,"dmsphd Double-Sided CBN Grinding Disk 350/600 Grit for Sharpening Woodworking Tools, High Speed Steel Tools (350/600 Grit)",Active,126,"{""Style"": ""350/600 Grit""}",0
3B-RP60-PL12,"Double-Sided CBN Grinding Disk for WS3000, for Sharpening Woodworking Tools, High Speed Steel Tools",STYLE (Deprecated: Do Not Use),JK-0BQO-4TA4,"dmsphd Double-Sided CBN Grinding Disk 80/180 Grit for Sharpening Woodworking Tools, High Speed Steel Tools (80/180 Grit)",Active,128,"{""Style"": ""80/180 Grit""}",0
3B-RP60-PL12,"Double-Sided CBN Grinding Disk for WS3000, for Sharpening Woodworking Tools, High Speed Steel Tools",STYLE (Deprecated: Do Not Use),XD-HQ6O-TM2N,"Double-Sided CBN Grinding Disk for WS3000, for Sharpening Woodworking Tools, High Speed Steel Tools (800/1200 Grit)",Active,164,"{""Style"": ""800/1200 Grit""}",0
4Y-7KDC-XBYI,"CBN Inserts Turning Milling Tools for Surfacing Cylinder Heads, Blocks",COLOR/SIZE,1O-WDLP-TDAE,"PCD Inserts Turning Milling Tools for Surfacing Cylinder Heads, Blocks (PCD, RNGN1203)",Active,203,"{""Color"": ""PCD"", ""Size"": ""RNGN1203""}",0
4Y-7KDC-XBYI,"CBN Inserts Turning Milling Tools for Surfacing Cylinder Heads, Blocks",COLOR/SIZE,3J-7F5B-6U6K,"CBN Inserts Turning Milling Tools for Surfacing Cylinder Heads, Blocks (CBN, RNGN0603)",Active,204,"{""Color"": ""CBN"", ""Size"": ""RNGN0603""}",0
4Y-7KDC-XBYI,"CBN Inserts Turning Milling Tools for Surfacing Cylinder Heads, Blocks",COLOR/SIZE,6M-5N8I-LUFE,"PCD Inserts Turning Milling Tools for Surfacing Cylinder Heads, Blocks (PCD, RNGN0903)",Active,206,"{""Color"": ""PCD"", ""Size"": ""RNGN0903""}",0
4Y-7KDC-XBYI,"CBN Inserts Turning Milling Tools for Surfacing Cylinder Heads, Blocks",COLOR/SIZE,8C-OPJ3-OM6Z,"PCD Inserts Turning Milling Tools for Surfacing Cylinder Heads, Blocks (PCD, RNGN1204)",Active,207,"{""Color"": ""PCD"", ""Size"": ""RNGN1204""}",0
4Y-7KDC-XBYI,"CBN Inserts Turning Milling Tools for Surfacing Cylinder Heads, Blocks",COLOR/SIZE,FZ-P3LJ-S3R8,"PCBN Inserts Turning Milling Tools for Surfacing Cylinder Heads, Blocks (PCBN, RNGN0903)",Active,209,"{""Color"": ""PCBN"", ""Size"": ""RNGN0903""}",0
